"","Date","country","cases"
"559",2004-02-01,"Bolivia",336
"560",2004-02-01,"Brazil",146
"561",2004-02-01,"Canada",1699
"562",2004-02-01,"Chile",1
"563",2004-02-01,"France",32
"564",2004-02-01,"Germany",1196
"565",2004-02-01,"Japan",708
"566",2004-02-01,"Mexico",932
"567",2004-02-01,"Netherlands",20
"568",2004-02-01,"Peru",261
"569",2004-02-01,"Romania",754
"570",2004-02-01,"Spain",19
"571",2004-02-01,"Switzerland",53
"572",2004-02-01,"United States",1227
"573",2004-02-01,"Uruguay",104
"574",2004-02-08,"Argentina",102
"575",2004-02-08,"Austria",854
"576",2004-02-08,"Belgium",65
"577",2004-02-08,"Bolivia",321
"578",2004-02-08,"Brazil",187
"579",2004-02-08,"Canada",1649
"580",2004-02-08,"Chile",2
"581",2004-02-08,"France",22
"582",2004-02-08,"Germany",1145
"583",2004-02-08,"Japan",537
"584",2004-02-08,"Mexico",939
"585",2004-02-08,"Netherlands",19
"586",2004-02-08,"Peru",220
"587",2004-02-08,"Romania",811
"588",2004-02-08,"Spain",16
"589",2004-02-08,"Switzerland",37
"590",2004-02-08,"United States",1186
"591",2004-02-08,"Uruguay",100
"592",2004-02-15,"Argentina",102
"593",2004-02-15,"Austria",824
"594",2004-02-15,"Belgium",64
"595",2004-02-15,"Bolivia",330
"596",2004-02-15,"Brazil",185
"597",2004-02-15,"Canada",1700
"598",2004-02-15,"Chile",1
"599",2004-02-15,"France",23
"600",2004-02-15,"Germany",1194
"601",2004-02-15,"Japan",337
"602",2004-02-15,"Mexico",913
"603",2004-02-15,"Netherlands",19
"604",2004-02-15,"Peru",289
"605",2004-02-15,"Romania",769
"606",2004-02-15,"Spain",13
"607",2004-02-15,"Switzerland",29
"608",2004-02-15,"United States",1162
"609",2004-02-15,"Uruguay",108
"610",2004-02-22,"Argentina",114
"611",2004-02-22,"Austria",738
"612",2004-02-22,"Belgium",44
"613",2004-02-22,"Bolivia",329
"614",2004-02-22,"Brazil",206
"615",2004-02-22,"Canada",1580
"616",2004-02-22,"Chile",1
"617",2004-02-22,"France",31
"618",2004-02-22,"Germany",1308
"619",2004-02-22,"Japan",182
"620",2004-02-22,"Mexico",974
"621",2004-02-22,"Netherlands",18
"622",2004-02-22,"Peru",228
"623",2004-02-22,"Romania",761
"624",2004-02-22,"Spain",15
"625",2004-02-22,"Switzerland",24
"626",2004-02-22,"United States",1118
"627",2004-02-22,"Uruguay",115
"628",2004-02-29,"Argentina",121
"629",2004-02-29,"Austria",726
"630",2004-02-29,"Belgium",61
"631",2004-02-29,"Bolivia",314
"632",2004-02-29,"Brazil",228
"633",2004-02-29,"Canada",1427
"634",2004-02-29,"Chile",1
"635",2004-02-29,"France",16
"636",2004-02-29,"Germany",1257
"637",2004-02-29,"Japan",91
"638",2004-02-29,"Mexico",944
"639",2004-02-29,"Netherlands",18
"640",2004-02-29,"Peru",208
"641",2004-02-29,"Romania",729
"642",2004-02-29,"Spain",10
"643",2004-02-29,"Switzerland",20
"644",2004-02-29,"United States",989
"645",2004-02-29,"Uruguay",106
"646",2004-03-07,"Argentina",108
"647",2004-03-07,"Austria",653
"648",2004-03-07,"Belgium",109
"649",2004-03-07,"Bolivia",370
"650",2004-03-07,"Brazil",244
"651",2004-03-07,"Canada",1409
"652",2004-03-07,"Chile",1
"653",2004-03-07,"France",18
"654",2004-03-07,"Germany",1280
"655",2004-03-07,"Japan",56
"656",2004-03-07,"Mexico",1040
"657",2004-03-07,"Netherlands",17
"658",2004-03-07,"Peru",231
"659",2004-03-07,"Romania",703
"660",2004-03-07,"Spain",14
"661",2004-03-07,"Switzerland",17
"662",2004-03-07,"United States",919
"663",2004-03-07,"Uruguay",110
"664",2004-03-14,"Argentina",107
"665",2004-03-14,"Austria",600
"666",2004-03-14,"Belgium",70
"667",2004-03-14,"Bolivia",421
"668",2004-03-14,"Brazil",213
"669",2004-03-14,"Canada",1404
"670",2004-03-14,"Chile",4
"671",2004-03-14,"France",14
"672",2004-03-14,"Germany",1047
"673",2004-03-14,"Japan",29
"674",2004-03-14,"Mexico",1028
"675",2004-03-14,"Netherlands",16
"676",2004-03-14,"Peru",301
"677",2004-03-14,"Romania",774
"678",2004-03-14,"Spain",19
"679",2004-03-14,"Switzerland",16
"680",2004-03-14,"United States",846
"681",2004-03-14,"Uruguay",115
"682",2004-03-21,"Argentina",119
"683",2004-03-21,"Austria",628
"684",2004-03-21,"Belgium",61
"685",2004-03-21,"Bolivia",450
"686",2004-03-21,"Brazil",243
"687",2004-03-21,"Canada",1424
"688",2004-03-21,"Chile",3
"689",2004-03-21,"France",15
"690",2004-03-21,"Germany",938
"691",2004-03-21,"Japan",20
"692",2004-03-21,"Mexico",1021
"693",2004-03-21,"Netherlands",15
"694",2004-03-21,"Peru",284
"695",2004-03-21,"Romania",770
"696",2004-03-21,"Spain",28
"697",2004-03-21,"Switzerland",15
"698",2004-03-21,"United States",883
"699",2004-03-21,"Uruguay",113
"700",2004-03-28,"Argentina",123
"701",2004-03-28,"Austria",636
"702",2004-03-28,"Belgium",43
"703",2004-03-28,"Bolivia",446
"704",2004-03-28,"Brazil",240
"705",2004-03-28,"Canada",1111
"706",2004-03-28,"Chile",2
"707",2004-03-28,"France",15
"708",2004-03-28,"Germany",771
"709",2004-03-28,"Japan",13
"710",2004-03-28,"Mexico",880
"711",2004-03-28,"Netherlands",12
"712",2004-03-28,"Peru",267
"713",2004-03-28,"Romania",757
"714",2004-03-28,"Spain",23
"715",2004-03-28,"Switzerland",13
"716",2004-03-28,"United States",808
"717",2004-03-28,"Uruguay",120
"718",2004-04-04,"Argentina",125
"719",2004-04-04,"Austria",569
"720",2004-04-04,"Belgium",21
"721",2004-04-04,"Bolivia",415
"722",2004-04-04,"Brazil",239
"723",2004-04-04,"Canada",1178
"724",2004-04-04,"Chile",3
"725",2004-04-04,"France",9
"726",2004-04-04,"Germany",739
"727",2004-04-04,"Japan",10
"728",2004-04-04,"Mexico",871
"729",2004-04-04,"Netherlands",12
"730",2004-04-04,"Peru",279
"731",2004-04-04,"Romania",734
"732",2004-04-04,"Spain",9
"733",2004-04-04,"Switzerland",12
"734",2004-04-04,"United States",831
"735",2004-04-04,"Uruguay",122
"736",2004-04-11,"Argentina",134
"737",2004-04-11,"Austria",550
"738",2004-04-11,"Belgium",24
"739",2004-04-11,"Bolivia",451
"740",2004-04-11,"Brazil",243
"741",2004-04-11,"Canada",1425
"742",2004-04-11,"Chile",5
"743",2004-04-11,"France",11
"744",2004-04-11,"Germany",695
"745",2004-04-11,"Japan",8
"746",2004-04-11,"Mexico",908
"747",2004-04-11,"Netherlands",14
"748",2004-04-11,"Peru",321
"749",2004-04-11,"Romania",686
"750",2004-04-11,"Spain",12
"751",2004-04-11,"Switzerland",12
"752",2004-04-11,"United States",796
"753",2004-04-11,"Uruguay",125
"754",2004-04-18,"Argentina",134
"755",2004-04-18,"Austria",531
"756",2004-04-18,"Belgium",32
"757",2004-04-18,"Bolivia",430
"758",2004-04-18,"Brazil",251
"759",2004-04-18,"Canada",1163
"760",2004-04-18,"Chile",4
"761",2004-04-18,"France",7
"762",2004-04-18,"Germany",712
"763",2004-04-18,"Japan",7
"764",2004-04-18,"Mexico",838
"765",2004-04-18,"Netherlands",15
"766",2004-04-18,"Peru",369
"767",2004-04-18,"Romania",663
"768",2004-04-18,"Spain",16
"769",2004-04-18,"Switzerland",11
"770",2004-04-18,"United States",719
"771",2004-04-18,"Uruguay",119
"772",2004-04-25,"Argentina",226
"773",2004-04-25,"Austria",531
"774",2004-04-25,"Belgium",29
"775",2004-04-25,"Bolivia",464
"776",2004-04-25,"Brazil",272
"777",2004-04-25,"Canada",1043
"778",2004-04-25,"Chile",5
"779",2004-04-25,"France",8
"780",2004-04-25,"Germany",542
"781",2004-04-25,"Japan",5
"782",2004-04-25,"Mexico",828
"783",2004-04-25,"Netherlands",16
"784",2004-04-25,"Peru",386
"785",2004-04-25,"Romania",671
"786",2004-04-25,"Spain",12
"787",2004-04-25,"Switzerland",9
"788",2004-04-25,"United States",722
